Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,MEMCPY_ASYNC,1,970,2.104,1763720935862539.907	,1763720935862542.011	
0,trans_TransData_55,KERNEL_AIVEC,1,971,121.833,1763720935862623.928	,1763720935862745.761	
0,AsStrided215,KERNEL_AIVEC,1,972,16.395,1763720936316625.219	,1763720936316641.614	
0,N/A,MEMCPY_ASYNC,1,973,2.104,1763720936316808.303	,1763720936316810.407	
0,trans_TransData_55,KERNEL_AIVEC,1,974,80.75,1763720936316885.490	,1763720936316966.240	
0,AsStrided216,KERNEL_AIVEC,1,975,16.395,1763720936803922.844	,1763720936803939.239	
0,N/A,MEMCPY_ASYNC,1,976,2.125,1763720936804167.782	,1763720936804169.907	
0,trans_TransData_55,KERNEL_AIVEC,1,977,128.666,1763720936804246.282	,1763720936804374.948	
0,AsStrided217,KERNEL_AIVEC,1,978,16.395,1763720937259889.824	,1763720937259906.219	
0,N/A,MEMCPY_ASYNC,1,979,2.041,1763720937260109.886	,1763720937260111.927	
0,trans_TransData_55,KERNEL_AIVEC,1,980,103.333,1763720937260196.011	,1763720937260299.344	
0,AsStrided218,KERNEL_AIVEC,1,981,16.437,1763720937701866.219	,1763720937701882.656	
0,N/A,MEMCPY_ASYNC,1,982,2.062,1763720937702054.407	,1763720937702056.469	
0,trans_TransData_55,KERNEL_AIVEC,1,983,97.25,1763720937702120.469	,1763720937702217.719	
0,AsStrided219,KERNEL_AIVEC,1,984,16.479,1763720938178909.282	,1763720938178925.761	
0,N/A,MEMCPY_ASYNC,1,985,2.208,1763720938179104.699	,1763720938179106.907	
0,trans_TransData_55,KERNEL_AIVEC,1,986,92.437,1763720938179183.511	,1763720938179275.948	
0,AsStrided220,KERNEL_AIVEC,1,987,16.625,1763720938619438.490	,1763720938619455.115	
0,N/A,MEMCPY_ASYNC,1,988,2.083,1763720938619611.574	,1763720938619613.657	
0,trans_TransData_55,KERNEL_AIVEC,1,989,112.583,1763720938619688.282	,1763720938619800.865	
0,AsStrided221,KERNEL_AIVEC,1,990,16.333,1763720939061860.969	,1763720939061877.302	
0,N/A,MEMCPY_ASYNC,1,991,2.041,1763720939062052.699	,1763720939062054.740	
0,trans_TransData_55,KERNEL_AIVEC,1,992,96.854,1763720939062134.865	,1763720939062231.719	
0,AsStrided222,KERNEL_AIVEC,1,993,16.479,1763720939537480.449	,1763720939537496.928	
0,N/A,MEMCPY_ASYNC,1,994,2.062,1763720939537643.782	,1763720939537645.844	
0,trans_TransData_55,KERNEL_AIVEC,1,995,80.0,1763720939537711.886	,1763720939537791.886	
0,AsStrided223,KERNEL_AIVEC,1,996,17.437,1763720939990507.178	,1763720939990524.615	
0,N/A,MEMCPY_ASYNC,1,997,2.041,1763720939990769.699	,1763720939990771.740	
0,trans_TransData_55,KERNEL_AIVEC,1,998,124.166,1763720939993570.011	,1763720939993694.177	
0,AsStrided224,KERNEL_AIVEC,1,999,16.458,1763720940485672.865	,1763720940485689.323	
0,N/A,MEMCPY_ASYNC,1,1000,2.062,1763720940485880.365	,1763720940485882.427	
0,trans_TransData_55,KERNEL_AIVEC,1,1001,101.729,1763720940485954.928	,1763720940486056.657	
0,AsStrided225,KERNEL_AIVEC,1,1002,16.5,1763720940944698.719	,1763720940944715.219	
0,N/A,MEMCPY_ASYNC,1,1003,2.041,1763720940944905.844	,1763720940944907.885	
0,trans_TransData_55,KERNEL_AIVEC,1,1004,97.916,1763720940945002.199	,1763720940945100.115	
0,AsStrided226,KERNEL_AIVEC,1,1005,16.395,1763720941397725.824	,1763720941397742.219	
0,N/A,MEMCPY_ASYNC,1,1006,2.083,1763720941397898.699	,1763720941397900.782	
0,trans_TransData_55,KERNEL_AIVEC,1,1007,108.458,1763720941397967.407	,1763720941398075.865	
0,AsStrided227,KERNEL_AIVEC,1,1008,16.541,1763720941858553.782	,1763720941858570.323	
0,N/A,MEMCPY_ASYNC,1,1009,2.02,1763720941858723.740	,1763720941858725.760	
