Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID
0,4294967295,76,1,RealDiv28,N/A,N/A,N/A,1763720847417189.678	,426.5,0.083,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,77,1,trans_Cast_12,N/A,N/A,N/A,1763720848196207.636	,7.833,778591.458,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,78,1,trans_Cast_13,N/A,N/A,N/A,1763720848196258.595	,2.583,43.125,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,79,1,MatMul29,N/A,N/A,N/A,1763720848196295.303	,9.208,34.125,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,80,1,trans_Cast_14,N/A,N/A,N/A,1763720848196320.136	,2.396,15.625,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,81,1,trans_Cast_15,N/A,N/A,N/A,1763720848760423.303	,5.083,564100.771,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,82,1,trans_Cast_16,N/A,N/A,N/A,1763720848760490.053	,2.646,61.667,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,83,1,MatMul30,N/A,N/A,N/A,1763720848760524.407	,10.708,31.708,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,84,1,trans_Cast_17,N/A,N/A,N/A,1763720848760555.532	,2.479,20.417,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,85,1,Cast31,N/A,N/A,N/A,1763720849252168.991	,381.229,491610.979,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
