Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,Mul42,KERNEL_AIVEC,1,130,134.25,1764070195391092.944	,1764070195391227.194	
0,trans_TransData_22,KERNEL_AIVEC,1,131,2.479,1764070195391227.277	,1764070195391229.756	
0,Add43,KERNEL_AIVEC,1,132,133.27,1764070195391229.819	,1764070195391363.089	
0,Relu44,KERNEL_AIVEC,1,133,127.937,1764070195391363.152	,1764070195391491.089	
0,Conv2D41,KERNEL_AICORE,1,134,404.854,1764070195391491.173	,1764070195391896.027	
0,Add33,KERNEL_AIVEC,1,135,2.25,1764070195391896.110	,1764070195391898.360	
0,Rsqrt34,KERNEL_AIVEC,1,136,2.166,1764070195391898.444	,1764070195391900.610	
0,Mul35,KERNEL_AIVEC,1,137,2.229,1764070195391900.694	,1764070195391902.923	
0,Mul35,KERNEL_AIVEC,1,138,2.083,1764070195391903.006	,1764070195391905.089	
0,Sub36,KERNEL_AIVEC,1,139,2.166,1764070195391905.152	,1764070195391907.318	
0,trans_TransData_21,KERNEL_AIVEC,1,140,2.187,1764070195391907.402	,1764070195391909.589	
0,Mul42,KERNEL_AIVEC,1,141,135.562,1764070195391909.673	,1764070195392045.235	
0,trans_TransData_22,KERNEL_AIVEC,1,142,2.208,1764070195392045.298	,1764070195392047.506	
0,Add43,KERNEL_AIVEC,1,143,133.375,1764070195392047.569	,1764070195392180.944	
0,Add45,KERNEL_AIVEC,1,144,384.75,1764070195392181.027	,1764070195392565.777	
0,Relu44,KERNEL_AIVEC,1,145,139.5,1764070195392565.860	,1764070195392705.360	
0,Conv2D46,KERNEL_AICORE,1,146,214.5,1764070195851742.048	,1764070195851956.548	
0,Add47,KERNEL_AIVEC,1,147,4.083,1764070196343354.319	,1764070196343358.402	
0,Rsqrt48,KERNEL_AIVEC,1,148,3.979,1764070196791880.152	,1764070196791884.131	
0,Mul49,KERNEL_AIVEC,1,149,3.625,1764070197264231.006	,1764070197264234.631	
0,Mul49,KERNEL_AIVEC,1,150,2.125,1764070197264401.610	,1764070197264403.735	
0,Sub50,KERNEL_AIVEC,1,151,3.645,1764070197712707.131	,1764070197712710.776	
0,trans_TransData_23,KERNEL_AIVEC,1,152,4.52,1764070198245780.131	,1764070198245784.651	
0,Mul51,KERNEL_AIVEC,1,153,68.187,1764070198245857.256	,1764070198245925.443	
0,trans_TransData_24,KERNEL_AIVEC,1,154,3.604,1764070198759219.985	,1764070198759223.589	
0,Add52,KERNEL_AIVEC,1,155,68.145,1764070198759276.402	,1764070198759344.547	
0,Relu53,KERNEL_AIVEC,1,156,67.333,1764070199199424.277	,1764070199199491.610	
0,Conv2D54,KERNEL_AICORE,1,157,405.562,1764070199682535.756	,1764070199682941.318	
0,Add47,KERNEL_AIVEC,1,158,2.708,1764070199682941.381	,1764070199682944.089	
0,Rsqrt48,KERNEL_AIVEC,1,159,2.333,1764070199682944.152	,1764070199682946.485	
0,Mul49,KERNEL_AIVEC,1,160,2.375,1764070199682946.569	,1764070199682948.944	
0,Mul49,KERNEL_AIVEC,1,161,2.0,1764070199682949.006	,1764070199682951.006	
0,Sub50,KERNEL_AIVEC,1,162,2.52,1764070199682951.089	,1764070199682953.609	
0,trans_TransData_23,KERNEL_AIVEC,1,163,2.229,1764070199682976.985	,1764070199682979.214	
0,Mul51,KERNEL_AIVEC,1,164,66.166,1764070199683033.694	,1764070199683099.860	
0,trans_TransData_24,KERNEL_AIVEC,1,165,2.125,1764070199683099.944	,1764070199683102.069	
0,Add52,KERNEL_AIVEC,1,166,65.291,1764070199683106.881	,1764070199683172.172	
0,Conv2D55,KERNEL_AICORE,1,167,166.75,1764070200198628.485	,1764070200198795.235	
0,Add47,KERNEL_AIVEC,1,168,2.937,1764070200198881.819	,1764070200198884.756	
0,Rsqrt48,KERNEL_AIVEC,1,169,2.375,1764070200198970.298	,1764070200198972.673	
0,Mul49,KERNEL_AIVEC,1,170,2.166,1764070200199028.298	,1764070200199030.464	
0,Mul49,KERNEL_AIVEC,1,171,2.0,1764070200199071.256	,1764070200199073.256	
